cluster,n,A_mean,V_mean,label
0,14444,0.08768186127777403,-0.46603518308748804,bored
4,9257,0.0719420302323254,-0.04336149438451363,neutral
1,7453,-0.39749160128754046,-0.5016974073031734,sad
3,4408,-0.8669137894124112,-0.7068302826575588,sad
2,3747,-0.6007143239256894,-0.06162918107588829,angry
5,190,-0.08312756248663174,-0.03852031271260884,neutral
